system_id,title,initials,first_name,given_name,last_name,suffix,party,department,municipality,role,gender
781292,,T.,Tunahan,Tunahan,Kuzu,,DENK,,,,unknown
1025164,,J.P.,Peter,Peter,Kwint,,SP,,,,unknown
508235,,A.J.M.,Antoinette José Marie,Antoinette,Laan-Geselschap,,VVD,,,,unknown
452006,,C.,Cem,Cem,Laçin,,SP,,,,unknown
24253,,L.A.,Leendert Arent-Willem,Leendert,de Lange,,VVD,,,,unknown
815920,,T.M.T.,Tom,Tom,van der Lee,,GL,,,,unknown
875556,,R.M.,Renske Maria,Renske,Leijten,,SP,,,,unknown
498088,,R.E.,Roald Erwin,Roald,van der Linde,,VVD,,,,unknown
292827,,W.J.H.,Wilhelmina Jenneke Helena,Helma,Lodders,,VVD,,,,unknown
680056,,B.,Barry,Barry,Madlener,,PVV,,,,unknown
345501,,V.,Vicky,Vicky,Maeijer,,PVV,,,,unknown
808888,,L.M.C.,Lilian,Lilian,Marijnissen,,SP,,,,unknown
195699,mr.,G.,Gideon,Gidi,Markuszower,,PVV,,,,unknown
72456,Jhr.,M.R.H.M.,Maurits Rolof Hubertus Marie,Maurits,von Martels,,CDA,,,,unknown
823673,drs,P.H.,Paul Hendrik,Paul,van Meenen,,D66,,,,unknown
998107,drs. MSc,J.,Jan,Jan,Middendorp,,VVD,,,,unknown
663794,,H.,Harry,Harry,van der Molen,,CDA,,,,unknown
274983,,W.J.,William Johannes,William,Moorlag,,PvdA,,,,unknown
177383,drs.,A.,Anne,Anne,Mulder,,VVD,,,,unknown
344017,,A.H.,Agnes Henriëtte,Agnes,Mulder,,CDA,,,,unknown
552080,,E.,Edgar,Edgar,Mulder,,PVV,,,,unknown
734326,,H.,Hendrik,Henk,Nijboer,,PvdA,,,,unknown
528876,,C.N.A.,Chantal Natalie Antoinette,Chantal,Nijkerken-de Haan,,VVD,,,,unknown
881926,mr.,M.,Michiel,Michiel,van Nispen,,SP,,,,unknown
102228,drs.,A.,Abraham,Bram,van Ojik,,GL,,,,unknown
427834,dr.,P.H.,Pieter Herman,Pieter,Omtzigt,,CDA,,,,unknown
967203,mr.,F.,Foort,Foort,van Oosten,,VVD,,,,unknown
177831,,E.,Esther,Esther,Ouwehand,,PvdD,,,,unknown
1040870,,Z.,Zihni,Zihni,Özdil,,GL,,,,unknown
767636,,S.,Selçuk,Selçuk,Öztürk,,GrKÖ,,,,unknown
320853,drs,N.,Nevin,Nevin,Özütok,,GL,,,,unknown
887262,BSc LLM,J.M.,Jan Maarten,Jan,Paternotte,,D66,,,,unknown
768448,drs.,A.,Alexander,Alexander,Pechtold,,D66,,,,unknown
15286,drs.,W.P.H.J.,Wilhelmus Petrus Henricus Johannes,René,Peters,,CDA,,,,unknown
788876,drs.,E.M.J.,Elisabeth Maria Josepha,Lilianne,Ploumen,,PvdA,,,,unknown
721300,mr. LLM,G.J.F.,Gabriëlle Johanna Francina,Gabriëlle,Popken,,PVV,,,,unknown
430980,dr.,A.A.G.M.,Antonius Adrianus Gerardus Maria,Ronald,van Raak,,SP,,,,unknown
292547,drs.,L.,Lammert,Lammert,van Raan,,PvdD,,,,unknown
229738,Mr.,R.,Rens,Rens,Raemakers,,D66,,,,unknown
1037418,,M.R.J.,Michel Richard Joachim,Michel,Rog,,CDA,,,,unknown
11750,,H.A.G.,Henricus Antonius Gerardus,Erik,Ronnes,,CDA,,,,unknown
580369,drs.,M.J.,Martinus Johannus,Martin,van Rooijen,,50PLUS,,,,unknown
630070,mr.,R.,Raymond,Raymond,de Roon,,PVV,,,,unknown
703214,mr.,A.C.L.,Arno Cor Lars,Arno,Rutte,,VVD,,,,unknown
3923,,L.,Léonie,Léonie,Sazias,,50PLUS,,,,unknown
733705,,G.J.M.,Gert-Jan Maarten,Gert-Jan,Segers,,CU,,,,unknown
375308,,M.F.,Matthijs Franciscus,Matthijs,Sienot,,D66,,,,unknown
872014,,S.W.,Sjoerd Wiemer,Sjoerd,Sjoerdsma,,D66,,,,unknown
194122,,E.J.,Evert Jan,Evert Jan,Slootweg,,CDA,,,,unknown
1021434,,J.C.,Joost Caspar,Joost,Sneller,,D66,,,,unknown
452180,dr.,B.A.W.,Bartholomeus Adrianus Wilhelmus,Bart,Snels,,GL,,,,unknown
288615,mr.,C.G.,Cornelis Gerrit,Kees,van der Staaij,,SGP,,,,unknown
218203,,O.C.,Ockje Caroline,Ockje,Tellegen,,VVD,,,,unknown
251470,mr.,M.L.,Marianne Louise,Marianne,Thieme,,PvdD,,,,unknown
548103,,J.Z.C.M.,Judith Zsuzsanna Cornélie Maria,Judith,Tielen,,VVD,,,,unknown
160161,drs.,L.,Liesbeth,Liesbeth,van Tongeren,,GL,,,,unknown
61227,dr. mr.,M.M.,Madeleine Melisande,Madeleine,van Toorenburg,,CDA,,,,unknown
583940,drs.,H.S.,Habbo Siebold,Hayke,Veldman,,VVD,,,,unknown
504337,,K.,Kees,Kees,Verhoeven,,D66,,,,unknown
68377,drs.,J.S.,Joël Stephanus,Joël,Voordewind,,CU,,,,unknown
203382,,L.G.J.,Linda Geertruida Johanna,Linda,Voortman,,GL,,,,unknown
100020,,A.,Aukje,Aukje,de Vries,,VVD,,,,unknown
196204,,F.P.,Frank Peter,Frank,Wassenberg,,PvdD,,,,unknown
133754,mr.,V.D.D.,Vicky Dafne Danai,Danai,van Weerdenburg,,PVV,,,,unknown
20836,,E.M.,Elisabeth Marij,Lisa,Westerveld,,GL,,,,unknown
99002,,A.,Arne,Arne,Weverling,,VVD,,,,unknown
377057,drs.,S.P.R.A.,Steven Peter Robert Albert,Steven,van Weyenberg,,D66,,,,unknown
938828,MA,A.D.,Dennis,Dennis,Wiersma,,VVD,,,,unknown
649808,,G.,Geert,Geert,Wilders,,Groep Wilders,,,,unknown
135285,,M.,Martin,Martin,Wörsdörfer,,VVD,,,,unknown
421117,,B.,Bastiaan,Bas,van 't Wout,,VVD,,,,unknown
698153,,D.,Dilan,Dilan,Yeşilgöz-Zegerius,,VVD,,,,unknown
179232,,E.,Erik,Erik,Ziengs,,VVD,,,,unknown
134414,Dhr.,R.T.A.,,,Korteland,,VVD,,Meppel,Burgemeester,unknown
127993,Mw.,S.,,,Wolvekamp-Bloemert,,CDA,,Meppel,Fractievoorzitter,unknown
127994,Dhr.,L.,,Bert,Kunnen,,ChristenUnie,,Meppel,Fractievoorzitter,male
85638,Dhr.,V.,,,Veldhorst,,D66,,Meppel,Fractievoorzitter,unknown
131310,Mw.,P.,,,van Eerden-Hein,,GroenLinks,,Meppel,Fractievoorzitter,unknown
135441,Dhr.,F.,,,Hummel,,PvdA,,Meppel,Fractievoorzitter,unknown
121001,Dhr.,X.,,,Topma,,SP,,Meppel,Fractievoorzitter,unknown
135442,Mw.,E.,,,Bakkenes-Van Hese,,Sterk Meppel,,Meppel,Fractievoorzitter,unknown
127995,Dhr. drs.,F.J.,,Frank,Perquin,,VVD,,Meppel,Fractievoorzitter,male
129368,Dhr.,R.P.,,Roelof Pieter,Koning,,VVD,,Meppel,Locoburgemeester,male
20274285,Dhr. drs.,G.J.,,,Fokkema,,,,Meppel,Raadsgriffier,unknown
120667,Dhr. ing.,E.,,Egbert,Knorren,,CDA,,Meppel,Raadslid,male
120668,Dhr.,J.,,Jan,van der Woerdt,,CDA,,Meppel,Raadslid,male
117455,Mw.,S.,,,Wolvekamp-Bloemert,,CDA,,Meppel,Raadslid,unknown
121225,Dhr.,L.,,Bert,Kunnen,,ChristenUnie,,Meppel,Raadslid,male
126497,Mw.,I.,,,Booij-van Wijk,,ChristenUnie,,Meppel,Raadslid,unknown
130191,Dhr. ir.,N.,,,Dubbelboer,,D66,,Meppel,Raadslid,unknown
85648,Dhr.,V.,,,Veldhorst,,D66,,Meppel,Raadslid,unknown
131311,Mw.,P.,,,van Eerden-Hein,,GroenLinks,,Meppel,Raadslid,unknown
121004,Dhr.,F.,,,Hummel,,PvdA,,Meppel,Raadslid,unknown
96402,Dhr.,F.,,Freek,Schipper,,PvdA,,Meppel,Raadslid,male
131633,Dhr.,H.,,Hans,Boersma,,PvdA,,Meppel,Raadslid,male
121006,Mw.,G.L.M.,,Dinie,Veld-Fonk,,PvdA,,Meppel,Raadslid,female
121007,Dhr.,X.,,,Topma,,SP,,Meppel,Raadslid,unknown
130192,Mw.,E.,,Esther,Schut,,SP,,Meppel,Raadslid,female
134967,Dhr.,E.,,,Annen,,Sterk Meppel,,Meppel,Raadslid,unknown
85654,Dhr.,F.,,,Venema,,Sterk Meppel,,Meppel,Raadslid,unknown
130193,Dhr.,H.B.J.,,,Schoemaker,,Sterk Meppel,,Meppel,Raadslid,unknown
85657,Dhr.,P.,,,de Vries,,Sterk Meppel,,Meppel,Raadslid,unknown
85658,Mw.,E.,,,Bakkenes-Van Hese,,Sterk Meppel,,Meppel,Raadslid,unknown
87680,Dhr. drs.,F.J.,,Frank,Perquin,,VVD,,Meppel,Raadslid,male
135443,Dhr.,R.,,Robin,van Ulzen,,VVD,,Meppel,Raadslid,male
120670,Mw.,A.,,Annigje,Udinga,,VVD,,Meppel,Raadslid,female
85662,Mw.,M.S.,,Marisa,Grotens-Pleyte,,VVD,,Meppel,Raadslid,female
125165,Dhr.,H.G.,,Henk,ten Hulscher,,CDA,,Meppel,Wethouder,male
125166,Dhr.,G.,,Gert,Stam,,ChristenUnie,,Meppel,Wethouder,male
125167,Dhr.,J.,,Koos,de Vos,,PvdA,,Meppel,Wethouder,male
125168,Dhr.,R.P.,,Roelof Pieter,Koning,,VVD,,Meppel,Wethouder,male
99260,Mw. drs.,H.,,,Hafkamp,,GroenLinks,,Bergen NH,Burgemeester,unknown
126472,Dhr.,D.,,,Zwart,,CDA,,Bergen NH,Fractievoorzitter,unknown
126473,Dhr.,J.A.,,,Snijder,,D66,,Bergen NH,Fractievoorzitter,unknown
126474,Dhr.,C.,,,van Leijen,,Gemeentebelangen BES,,Bergen NH,Fractievoorzitter,unknown
129388,Mw.,F.C.,,,Braak-van Kasteel,,GroenLinks,,Bergen NH,Fractievoorzitter,unknown
126476,Mw.,J.L.,,,Luttik-Swart,,KIES Lokaal,,Bergen NH,Fractievoorzitter,unknown
126477,Dhr.,A.H.,,,van der Leij,,PvdA,,Bergen NH,Fractievoorzitter,unknown
126478,Dhr.,C.,,,Roem,,VVD,,Bergen NH,Fractievoorzitter,unknown
20636415,Dhr.,J.,,,Mesu,,CDA,,Bergen NH,Locoburgemeester,unknown
21087941,Dhr.,S.G.W.M.,,,Heerdink,,,,Bergen NH,Raadsgriffier,unknown
112887,Dhr.,D.,,,Zwart,,CDA,,Bergen NH,Raadslid,unknown
126480,Dhr.,P.K.H.M.M.,,,Ooijevaar,,CDA,,Bergen NH,Raadslid,unknown
120848,Mw.,W.A.T.,,,Grooteman,,CDA,,Bergen NH,Raadslid,unknown
84443,Dhr.,J.A.,,,Snijder,,D66,,Bergen NH,Raadslid,unknown
120849,Dhr.,J.M.,,,Halff,,D66,,Bergen NH,Raadslid,unknown
120850,Dhr.,M.S.,,,Wals,,D66,,Bergen NH,Raadslid,unknown
84445,Dhr.,C.,,,van Leijen,,Gemeentebelangen BES,,Bergen NH,Raadslid,unknown
89202,Dhr.,F.D.,,,Zeiler,,Gemeentebelangen BES,,Bergen NH,Raadslid,unknown
41098,Dhr.,J.A.M.,,,Haring,,Gemeentebelangen BES,,Bergen NH,Raadslid,unknown
84446,Mw.,F.C.,,,Braak-van Kasteel,,GroenLinks,,Bergen NH,Raadslid,unknown
130771,Mw.,F.M.,,,OuÃ«ndag,,GroenLinks,,Bergen NH,Raadslid,unknown
129389,Mw.,S.C.,,,Groen-Bruschke,,GroenLinks,,Bergen NH,Raadslid,unknown
133696,Dhr.,J.J.H.,,,Swart,,KIES Lokaal,,Bergen NH,Raadslid,unknown
120854,Dhr.,L.J.,,,Damink,,KIES Lokaal,,Bergen NH,Raadslid,unknown
120855,Dhr.,M.J.,,,Smook,,KIES Lokaal,,Bergen NH,Raadslid,unknown
120856,Dhr.,R.J.,,,Karels,,KIES Lokaal,,Bergen NH,Raadslid,unknown
130042,Mw.,C.M.,,,Glas-de Raadt,,KIES Lokaal,,Bergen NH,Raadslid,unknown
120858,Mw.,J.L.,,,Luttik-Swart,,KIES Lokaal,,Bergen NH,Raadslid,unknown
126481,Dhr.,A.H.,,,van der Leij,,PvdA,,Bergen NH,Raadslid,unknown
41108,Mw.,K.,,,Kindt,,PvdA,,Bergen NH,Raadslid,unknown
120859,Dhr.,C.,,,Roem,,VVD,,Bergen NH,Raadslid,unknown
41111,Dhr.,J.J.A.S.,,,Houtenbos,,VVD,,Bergen NH,Raadslid,unknown
84450,Mw.,A.M.W.,,,Paping,,VVD,,Bergen NH,Raadslid,unknown
20745286,Dhr.,M.N.,,,Schroor,,,,Bergen NH,Secretaris,unknown
20636448,Dhr.,J.,,,Mesu,,CDA,,Bergen NH,Wethouder,unknown
126596,Mw.,O.,,,Rasch,,D66,,Bergen NH,Wethouder,unknown
135283,Dhr.,H.J.,,,Snabilie,,KIES Lokaal,,Bergen NH,Wethouder,unknown
126355,Dhr.,A.P.,,,van Huissteden,,PvdA,,Bergen NH,Wethouder,unknown
132573,Mw.,M.,,,Salet,,PvdA,,Nissewaard,Burgemeester,unknown
130492,Dhr.,B.,,Bart,Overgaauw,,CDA,,Nissewaard,Fractievoorzitter,male
130493,Dhr.,B.J.,,Bernard,Tebrugge,,SGP/ChristenUnie,,Nissewaard,Fractievoorzitter,male
130494,Mw.,E.J.,,Ellen,Slachter,,D66,,Nissewaard,Fractievoorzitter,female
135149,Mw.,M.L.,,Mia,Sliwinski,,Forza! Nissewaard,,Nissewaard,Fractievoorzitter,female
130496,Dhr.,S.,,,van der Weg,,LOB,,Nissewaard,Fractievoorzitter,unknown
135237,Dhr.,C.A.,,Chris,Hottentot,,Nissewaard Lokaal,,Nissewaard,Fractievoorzitter,male
130497,Dhr.,J.,,Jan,van Dijk,,ONS,,Nissewaard,Fractievoorzitter,male
130498,Dhr.,W.,,Wouter,Struijk,,PvdA,,Nissewaard,Fractievoorzitter,male
135255,Dhr.,F.J.,,,Mellink,,SP,,Nissewaard,Fractievoorzitter,unknown
130793,Dhr.,E.H.A.,,,Geurts,,VVD,,Nissewaard,Fractievoorzitter,unknown
130421,Dhr.,C.J.,,Kees,Dijkman,,ONS,,Nissewaard,Locoburgemeester,male
20274154,Dhr. mr.,S.J.M.,,,Mackaij,,,,Nissewaard,Raadsgriffier,unknown
130134,Dhr.,B.,,Bart,Overgaauw,,CDA,,Nissewaard,Raadslid,male
130135,Dhr.,D.,,,Klok,,CDA,,Nissewaard,Raadslid,unknown
130136,Dhr.,K.,,,Ramlal,,CDA,,Nissewaard,Raadslid,unknown
130425,Dhr.,B.J.,,Bernard,Tebrugge,,SGP/ChristenUnie,,Nissewaard,Raadslid,male
130426,Dhr.,J.,,,Vroombout,,ChristenUnie/SGP,,Nissewaard,Raadslid,unknown
135239,Dhr.,D.S.,,,Wiering,,D66,,Nissewaard,Raadslid,unknown
130140,Mw.,E.J.,,Ellen,Slachter,,D66,,Nissewaard,Raadslid,female
135150,Mw.,M.L.,,Mia,Sliwinski,,Forza! Nissewaard,,Nissewaard,Raadslid,female
130144,Dhr.,S.,,,van der Weg,,LOB,,Nissewaard,Raadslid,unknown
130145,Mw.,N.,,,Gort-Stolk,,LOB,,Nissewaard,Raadslid,unknown
135240,Dhr.,C.A.,,Chris,Hottentot,,Nissewaard Lokaal,,Nissewaard,Raadslid,male
135241,Dhr.,T.,,,den Daas,,Nissewaard Lokaal,,Nissewaard,Raadslid,unknown
23279009,Dhr.,A.J.J.,,Arno,Oomen,,ONS,,Nissewaard,Raadslid,male
130146,Dhr.,D.J.,,Dave,Tholen,,ONS,,Nissewaard,Raadslid,male
132173,Dhr.,G.,,Georgo,Muller,,ONS,,Nissewaard,Raadslid,male
130148,Dhr.,J.,,Jeroen,Postma,,ONS,,Nissewaard,Raadslid,male
130149,Dhr.,J.,,Jan,van Dijk,,ONS,,Nissewaard,Raadslid,male
130151,Dhr.,L.,,,Soeterboek,,ONS,,Nissewaard,Raadslid,unknown
130152,Dhr.,M.,,,Bosma,,ONS,,Nissewaard,Raadslid,unknown
130153,Dhr.,M.,,Martin,Polder,,ONS,,Nissewaard,Raadslid,male
130154,Dhr.,P.C.,,Pieter,de Vos,,ONS,,Nissewaard,Raadslid,male
130155,Dhr.,W.L.,,Wim,Tijl,,ONS,,Nissewaard,Raadslid,male
132185,Mw.,B.,,,Verwijs-Weerensteijn,,ONS,,Nissewaard,Raadslid,unknown
130156,Mw. drs.,M.C.,,,Lewis,,ONS,,Nissewaard,Raadslid,unknown
130157,Mw.,J.,,,Eshuis-Broekzitter,,ONS,,Nissewaard,Raadslid,unknown
130158,Mw.,N.,,,Vonk Noordegraaf-van Dijk,,ONS,,Nissewaard,Raadslid,unknown
130159,Dhr.,A.,,Aad,Struijk,,PvdA,,Nissewaard,Raadslid,male
130161,Dhr.,P.,,Peter,Versluis,,PvdA,,Nissewaard,Raadslid,male
130829,Dhr.,R.,,Remco,Harmsen,,PvdA,,Nissewaard,Raadslid,male
130162,Dhr.,W.,,Wouter,Struijk,,PvdA,,Nissewaard,Raadslid,male
130163,Mw.,D.,,Dorothé,Kieboom,,PvdA,,Nissewaard,Raadslid,female
130164,Dhr.,F.,,,Hulst,,SP,,Nissewaard,Raadslid,unknown
135256,Dhr.,F.J.,,,Mellink,,SP,,Nissewaard,Raadslid,unknown
130768,Mw.,R.,,,Corzilius,,SP,,Nissewaard,Raadslid,unknown
130168,Dhr.,E.H.A.,,,Geurts,,VVD,,Nissewaard,Raadslid,unknown
130169,Dhr.,G.C.A.,,,Kabbedijk,,VVD,,Nissewaard,Raadslid,unknown
132174,Dhr.,I.S.,,Igor,Bal,,VVD,,Nissewaard,Raadslid,male
135412,Mw.,A.M.,,Angelique,Twisker-Pijnacker,,VVD,,Nissewaard,Raadslid,female
20274200,Dhr.,M.L.M.,,,Weerts,,,,Nissewaard,Secretaris,unknown
129929,Dhr.,D.,,Dirk,van der Schaaf,,CDA,,Nissewaard,Wethouder,male
129945,Dhr.,C.J.,,Kees,Dijkman,,ONS,,Nissewaard,Wethouder,male
129946,Dhr.,J.W.,,Jan Willem,Mijnans,,ONS,,Nissewaard,Wethouder,male
129947,Dhr.,M.,,Martijn,Hamerslag,,ONS,,Nissewaard,Wethouder,male
22451535,Dhr.,H.,,,de Graad,,VVD,,Nissewaard,Wethouder,unknown
133525,Dhr. mr.,R.S.,,,Cazemier,,VVD,,Krimpenerwaard,Burgemeester,unknown
130044,Dhr.,J.R.,,Jan,Dekker,,CDA,,Krimpenerwaard,Fractievoorzitter,male
20802718,Dhr.,A.H.,,Ton,van Dorp,,ChristenUnie,,Krimpenerwaard,Fractievoorzitter,male
130046,Dhr.,A.,,,Bening,,D66,,Krimpenerwaard,Fractievoorzitter,unknown
131027,Dhr.,P.,,,Heerens,,Gemeente Belang Schoonhoven,,Krimpenerwaard,Fractievoorzitter,unknown
130048,Dhr.,A.,,,Struijs,,Pro Krimpenerwaard,,Krimpenerwaard,Fractievoorzitter,unknown
135131,Mw.,M.A.C.,,Marije,Willems,,PvdA,,Krimpenerwaard,Fractievoorzitter,female
130050,Dhr.,J.W.,,Jan Willem,van der Ham,,SGP,,Krimpenerwaard,Fractievoorzitter,male
130051,Dhr.,W.J.,,,Schoof,,VGBK,,Krimpenerwaard,Fractievoorzitter,unknown
135132,Dhr.,R.H.,,Ruud,van der Wilt,,VVD,,Krimpenerwaard,Fractievoorzitter,male
23278917,Mw.,M.G.,,,Boere-Schoonderwoerd,,VVD,,Krimpenerwaard,Locoburgemeester,unknown
20274083,Dhr. drs.,K.E.,,,Driehuijs,,,,Krimpenerwaard,Raadsgriffier,unknown
130382,Dhr.,F.J.J.,,Frank,Mone,,CDA,,Krimpenerwaard,Raadslid,male
130383,Dhr.,J.H.,,Hans,Verkerk,,CDA,,Krimpenerwaard,Raadslid,male
130054,Dhr.,J.R.,,Jan,Dekker,,CDA,,Krimpenerwaard,Raadslid,male
130384,Dhr.,K.,,Kees,Larooij,,CDA,,Krimpenerwaard,Raadslid,male
130055,Dhr.,A.H.,,Ton,van Dorp,,ChristenUnie,,Krimpenerwaard,Raadslid,male
20802742,Dhr.,G.,,,Both,,ChristenUnie,,Krimpenerwaard,Raadslid,unknown
130386,Mw.,N.E.,,,van Zijl-Vuijk,,ChristenUnie,,Krimpenerwaard,Raadslid,unknown
130057,Dhr.,A.,,,Bening,,D66,,Krimpenerwaard,Raadslid,unknown
130058,Mw.,E.J.,,,Jaspers,,D66,,Krimpenerwaard,Raadslid,unknown
131028,Dhr.,P.,,,Heerens,,Gemeente Belang Schoonhoven,,Krimpenerwaard,Raadslid,unknown
131029,Mw.,A.,,,van Buren-van der Heiden,,Gemeente Belang Schoonhoven,,Krimpenerwaard,Raadslid,unknown
130061,Dhr.,A.,,,Struijs,,Pro Krimpenerwaard,,Krimpenerwaard,Raadslid,unknown
135133,Dhr.,C.,,Cees,van der Graaf,,PvdA,,Krimpenerwaard,Raadslid,male
