id,title,first_name,last_name,suffix,party,municipality,role
135747,Dhr.,B.C.,Timmerarends,,SGP,Gemeente Montfoort,Fractievoorzitter
127357,Mw.,A.,Spijk-van de Pol,,CDA,Gemeente Eemsmond,Fractievoorzitter
123866,Mw.,C.P.A.M.,Eeken-van Hoof,,CDA,Gemeente Waalre,Fractievoorzitter
127434,Mw.,K.E.,Pouwels-Koopman,,ChristenUnie/SGP,Gemeente Leusden,Fractievoorzitter
123876,Dhr. ing.,H.J.J.,Arends,,CDA,Gemeente Lingewaard,Fractievoorzitter
135235,Dhr.,M.,Tijink,,VVD,Gemeente Dinkelland,Fractievoorzitter
132604,Dhr.,J.A.,Vergeer,,CDA,Gemeente Bodegraven-Reeuwijk,Fractievoorzitter
119612,Dhr.,H.,Warners,,D66,Gemeente Zeist,Fractievoorzitter
72765,Dhr.,P.A.M.,Timmer,,DUS!,Gemeente Uithoorn,Fractievoorzitter
134601,Dhr.,J.,Hardenberg,,VVD,Gemeente Nieuwkoop,Fractievoorzitter
121403,Dhr. drs.,M.,Klijmij-van der Laan,,GroenLinks,Gemeente Gouda,Fractievoorzitter
73702,Mw.,J.K.,Gooijer-Medema,,ChristenUnie,Gemeente Delft,Fractievoorzitter
127873,Dhr.,J.,Talen,,Liberaal Netwerk,Gemeente Staphorst,Fractievoorzitter
122729,Dhr.,L.,Talen,,SGP,Gemeente Staphorst,Fractievoorzitter
93987,Dhr.,J.,Spiker,,CDA,Gemeente Staphorst,Fractievoorzitter
95116,Mw.,M.H.,Treep-Wolfswinkel,,ChristenUnie,Gemeente Woudenberg,Fractievoorzitter
131480,Mw.,P.C.,Schuts-Pennings,,Keerpunt 2010,Gemeente Grave,Fractievoorzitter
129579,Mw.,E.E.M.,Eigenhuijsen,,Fractie Eigenhuijsen,Gemeente Grave,Fractievoorzitter
128434,Dhr.,R.,Bannink,,VVD,Gemeente Grave,Fractievoorzitter
122353,Dhr.,J.J.M.,Knoops,,CDA,Gemeente Bergen (L),Fractievoorzitter
113201,Dhr.,N.C.M.,Verkaik,,PvdA,Gemeente Hardinxveld-Giessendam,Fractievoorzitter
134329,Dhr.,M.,Hardeman,,CDA,Gemeente Woudenberg,Fractievoorzitter
122859,Dhr.,H.,Bouwers,,Gemeentebelangen,Gemeente Coevorden,Fractievoorzitter
129200,Mw.,J.,Visser-Okhuijsen,,Open en Duidelijk Stede Broec,Gemeente Stede Broec,Fractievoorzitter
135085,Dhr.,J.,van Brummelen,,Lokaal +,Gemeente Geertruidenberg,Fractievoorzitter
121284,Mw.,O.,de Man,,VVD,Gemeente Woudenberg,Fractievoorzitter
134058,Mw.,Y.M.,van Bruggen,,PvdA,Gemeente Zeewolde,Fractievoorzitter
115537,Dhr.,F.,Teerink,,Duurzaam Natuurlijk Alternatief,Gemeente Schagen,Fractievoorzitter
