"Address","Status Code","Status","Naam","gemeente 1","partij-abbr 1","functie 1"
"https://almanak.overheid.nl/30314/Dhr_JCM_Huijsmans/",200,"OK","Dhr. J.C.M. Huijsmans","Gemeente Asten","Leefbaar Asten","Wethouder"
"https://almanak.overheid.nl/30313/Dhr_THM_Martens/",200,"OK","Dhr. T.H.M. Martens","Gemeente Asten","CDA","Wethouder"
"https://almanak.overheid.nl/82202/Dhr_JHJ_van_Bussel/",200,"OK","Dhr. J.H.J. van Bussel","Gemeente Asten","Algemeen Belang","Wethouder"
"https://almanak.overheid.nl/123291/Dhr_JW_de_Vries/",200,"OK","Dhr. J.W. de Vries","Gemeente Ferwerderadiel","CDA","Wethouder"
"https://almanak.overheid.nl/131422/Dhr_DA_Alssema/",200,"OK","Dhr. D.A. Alssema","Gemeente Goes","CDA","Wethouder"
"https://almanak.overheid.nl/87604/Mw_drs_L_Meewisse/",200,"OK","Mw. drs. L. Meewisse","Gemeente Goes","VVD","Wethouder"
"https://almanak.overheid.nl/126935/Dhr_AB_van_der_Reest/",200,"OK","Dhr. A.B. van der Reest","Gemeente Goes","ChristenUnie/SGP","Wethouder"
"https://almanak.overheid.nl/134317/Dhr_JGTM_Kersten/",200,"OK","Dhr. J.G.T.M. Kersten","Gemeente Beuningen","Beuningen Nu &amp; Morgen","Wethouder"
"https://almanak.overheid.nl/118159/Dhr_PJM_de_Klein/",200,"OK","Dhr. P.J.M. de Klein","Gemeente Beuningen","Beuningen Nu &amp; Morgen","Wethouder"
"https://almanak.overheid.nl/123767/Dhr_H_Driessen/",200,"OK","Dhr. H. Driessen","Gemeente Beuningen","D66","Wethouder"
"https://almanak.overheid.nl/92735/Dhr_ir_A_van_der_Ploeg/",200,"OK","Dhr. ir. A. van der Ploeg","Gemeente Dongeradeel","CDA","Wethouder"
"https://almanak.overheid.nl/122951/Dhr_FM_Kuppens/",200,"OK","Dhr. F.M. Kuppens","Gemeente Cranendonck","CDA","Wethouder"
"https://almanak.overheid.nl/135242/Mw_RCM_van_Mulken-van_Lingen/",200,"OK","Mw. R.C.M. van Mulken-van Lingen","Gemeente Stein","G!NA","Wethouder"
"https://almanak.overheid.nl/98559/Dhr_DMM_Hendrix/",200,"OK","Dhr. D.M.M. Hendrix","Gemeente Stein","DOS (Democratisch Onafhankelijken Stein)","Wethouder"
