Agalev
Antirevolutionair
ARP
Beliën
Berendsen
Bluemink
Boerenpartij
Buck
CDA
ChristenUnie
CHU
Conservatief
CP
CPN
D66
de Leest
Dekker
Esser
Europa Transparant
financiële oppositie
Franssen
Gemeentebelangen Putten
GPV
Groenianen
GroenLinks
Hacquebard
HGSP
Huiskamp
Jan Gerbrandy
Jan Kats
Jansen
Joseph van Thiel
Kleijwegt
Krijt
Lebbink
Leefbaar Rotterdam
liberaal
Liberale Staatspartij 'De Vrijheidsbond'
Liberale Unie
LN
LPF
Maagdenberg
Maas
Madsen
Marie Worm
Martijn
Nauta
NSB
orangist
Partij voor de Dieren
Pierik
Plasschaert
Plattelandersbond
Neutrale fractie
PNVD
Pot
PPR
PvdA
PVV
Realisten Nederland
RKSP
Ronde Venen Belang
RPF
SDAP
SDB
SGP
SP
Stout
Thorbeckiaan
van Appeldoorn
van den Boogaart
van Dorp
van Meppelen Scheppink
van Rooden
van Weele
VAR / CHP / CHU
VDB
Vrije Socialisten
Vrijheidsbond
VVD
