system_id,title,initials,first_name,given_name,last_name,suffix,party,department,municipality,role
84443,Dhr.,J.A.,,,Snijder,,D66,,Bergen NH,Raadslid
84446,Mw.,F.C.,,,Braak-van Kasteel,,GroenLinks,,Bergen NH,Raadslid
84445,Dhr.,C.,,,van Leijen,,Gemeentebelangen BES,,Bergen NH,Raadslid
120859,Dhr.,C.,,,Roem,,VVD,,Bergen NH,Raadslid
41111,Dhr.,J.J.A.S.,,,Houtenbos,,VVD,,Bergen NH,Raadslid
84450,Mw.,A.M.W.,,,Paping,,VVD,,Bergen NH,Raadslid
20745286,Dhr.,M.N.,,,Schroor,,,,Bergen NH,Secretaris
20636448,Dhr.,J.,,,Mesu,,CDA,,Bergen NH,Wethouder
126596,Mw.,O.,,,Rasch,,D66,,Bergen NH,Wethouder
135283,Dhr.,H.J.,,,Snabilie,,KIES Lokaal,,Bergen NH,Wethouder
126355,Dhr.,A.P.,,,van Huissteden,,PvdA,,Bergen NH,Wethouder
132573,Mw.,M.,,,Salet,,PvdA,,Nissewaard,Burgemeester
130492,Dhr.,B.,,,Overgaauw,,CDA,,Nissewaard,Fractievoorzitter
130493,Dhr.,B.J.,,,Tebrugge,,ChristenUnie/SGP,,Nissewaard,Fractievoorzitter
130494,Mw.,E.J.,,,Slachter,,D66,,Nissewaard,Fractievoorzitter
135149,Mw.,M.L.,,,Sliwinski,,Forza! Nissewaard,,Nissewaard,Fractievoorzitter
130496,Dhr.,S.,,,van der Weg,,LOB,,Nissewaard,Fractievoorzitter
135237,Dhr.,C.A.,,,Hottentot,,Nissewaard Lokaal,,Nissewaard,Fractievoorzitter
130497,Dhr.,J.,,,van Dijk,,ONS,,Nissewaard,Fractievoorzitter
130498,Dhr.,W.,,,Struijk,,PvdA,,Nissewaard,Fractievoorzitter
135255,Dhr.,F.J.,,,Mellink,,SP,,Nissewaard,Fractievoorzitter
130793,Dhr.,E.H.A.,,,Geurts,,VVD,,Nissewaard,Fractievoorzitter
130421,Dhr.,C.J.,,,Dijkman,,ONS,,Nissewaard,Locoburgemeester
20274154,Dhr. mr.,S.J.M.,,,Mackaij,,,,Nissewaard,Raadsgriffier
130134,Dhr.,B.,,,Overgaauw,,CDA,,Nissewaard,Raadslid
130135,Dhr.,D.,,,Klok,,CDA,,Nissewaard,Raadslid
130136,Dhr.,K.,,,Ramlal,,CDA,,Nissewaard,Raadslid
130425,Dhr.,B.J.,,,Tebrugge,,ChristenUnie/SGP,,Nissewaard,Raadslid
130426,Dhr.,J.,,,Vroombout,,ChristenUnie/SGP,,Nissewaard,Raadslid
135239,Dhr.,D.S.,,,Wiering,,D66,,Nissewaard,Raadslid
130140,Mw.,E.J.,,,Slachter,,D66,,Nissewaard,Raadslid
135150,Mw.,M.L.,,,Sliwinski,,Forza! Nissewaard,,Nissewaard,Raadslid
130144,Dhr.,S.,,,van der Weg,,LOB,,Nissewaard,Raadslid
130145,Mw.,N.,,,Gort-Stolk,,LOB,,Nissewaard,Raadslid
135240,Dhr.,C.A.,,,Hottentot,,Nissewaard Lokaal,,Nissewaard,Raadslid
135241,Dhr.,T.,,,den Daas,,Nissewaard Lokaal,,Nissewaard,Raadslid
23279009,Dhr.,A.J.J.,,,Oomen,,ONS,,Nissewaard,Raadslid
130146,Dhr.,D.J.,,,Tholen,,ONS,,Nissewaard,Raadslid
132173,Dhr.,G.,,,Muller,,ONS,,Nissewaard,Raadslid
130148,Dhr.,J.,,,Postma,,ONS,,Nissewaard,Raadslid
130149,Dhr.,J.,,,van Dijk,,ONS,,Nissewaard,Raadslid
130151,Dhr.,L.,,,Soeterboek,,ONS,,Nissewaard,Raadslid
130152,Dhr.,M.,,,Bosma,,ONS,,Nissewaard,Raadslid
130153,Dhr.,M.,,,Polder,,ONS,,Nissewaard,Raadslid
130154,Dhr.,P.C.,,,de Vos,,ONS,,Nissewaard,Raadslid
130155,Dhr.,W.L.,,,Tijl,,ONS,,Nissewaard,Raadslid
132185,Mw.,B.,,,Verwijs-Weerensteijn,,ONS,,Nissewaard,Raadslid
130156,Mw. drs.,M.C.,,,Lewis,,ONS,,Nissewaard,Raadslid
130157,Mw.,J.,,,Eshuis-Broekzitter,,ONS,,Nissewaard,Raadslid
130158,Mw.,N.,,,Vonk Noordegraaf-van Dijk,,ONS,,Nissewaard,Raadslid
130159,Dhr.,A.,,,Struijk,,PvdA,,Nissewaard,Raadslid
130161,Dhr.,P.,,,Versluis,,PvdA,,Nissewaard,Raadslid
130829,Dhr.,R.,,,Harmsen,,PvdA,,Nissewaard,Raadslid
130162,Dhr.,W.,,,Struijk,,PvdA,,Nissewaard,Raadslid
130163,Mw.,D.,,,Kieboom,,PvdA,,Nissewaard,Raadslid
130164,Dhr.,F.,,,Hulst,,SP,,Nissewaard,Raadslid
135256,Dhr.,F.J.,,,Mellink,,SP,,Nissewaard,Raadslid
130768,Mw.,R.,,,Corzilius,,SP,,Nissewaard,Raadslid
130168,Dhr.,E.H.A.,,,Geurts,,VVD,,Nissewaard,Raadslid
130169,Dhr.,G.C.A.,,,Kabbedijk,,VVD,,Nissewaard,Raadslid
132174,Dhr.,I.S.,,,Bal,,VVD,,Nissewaard,Raadslid
135412,Mw.,A.M.,,,Twisker-Pijnacker,,VVD,,Nissewaard,Raadslid
20274200,Dhr.,M.L.M.,,,Weerts,,,,Nissewaard,Secretaris
129929,Dhr.,D.,,,van der Schaaf,,CDA,,Nissewaard,Wethouder
129945,Dhr.,C.J.,,,Dijkman,,ONS,,Nissewaard,Wethouder
129946,Dhr.,J.W.,,,Mijnans,,ONS,,Nissewaard,Wethouder
129947,Dhr.,M.,,,Hamerslag,,ONS,,Nissewaard,Wethouder
22451535,Dhr.,H.,,,de Graad,,VVD,,Nissewaard,Wethouder
133525,Dhr. mr.,R.S.,,,Cazemier,,VVD,,Krimpenerwaard,Burgemeester
20802718,Dhr.,A.H.,,,van Dorp,,ChristenUnie,,Krimpenerwaard,Fractievoorzitter
130044,Dhr.,J.R.,,,Dekker,,CDA,,Krimpenerwaard,Fractievoorzitter
130046,Dhr.,A.,,,Bening,,D66,,Krimpenerwaard,Fractievoorzitter
131027,Dhr.,P.,,,Heerens,,Gemeente Belang Schoonhoven,,Krimpenerwaard,Fractievoorzitter
130048,Dhr.,A.,,,Struijs,,Pro Krimpenerwaard,,Krimpenerwaard,Fractievoorzitter
135131,Mw.,M.A.C.,,,Willems,,PvdA,,Krimpenerwaard,Fractievoorzitter
130050,Dhr.,J.W.,,,van der Ham,,SGP,,Krimpenerwaard,Fractievoorzitter
130051,Dhr.,W.J.,,,Schoof,,VGBK,,Krimpenerwaard,Fractievoorzitter
135132,Dhr.,R.H.,,,van der Wilt,,VVD,,Krimpenerwaard,Fractievoorzitter
23278917,Mw.,M.G.,,,Boere-Schoonderwoerd,,VVD,,Krimpenerwaard,Locoburgemeester
20274083,Dhr. drs.,K.E.,,,Driehuijs,,,,Krimpenerwaard,Raadsgriffier
21870140,Dhr.,G.P.,,,Zuijderwijk,,VVD,,Krimpenerwaard,Raadslid
130054,Dhr.,J.R.,,,Dekker,,CDA,,Krimpenerwaard,Raadslid
130055,Dhr.,A.H.,,,van Dorp,,ChristenUnie,,Krimpenerwaard,Raadslid
130058,Mw.,E.J.,,,Jaspers,,D66,,Krimpenerwaard,Raadslid
130057,Dhr.,A.,,,Bening,,D66,,Krimpenerwaard,Raadslid
130061,Dhr.,A.,,,Struijs,,Pro Krimpenerwaard,,Krimpenerwaard,Raadslid
130064,Mw.,M.A.C.,,,Willems,,PvdA,,Krimpenerwaard,Raadslid
130063,Mw.,G.J.,,,Goudriaan-de Vries,,PvdA,,Krimpenerwaard,Raadslid
130066,Dhr.,D.C.,,,Koelewijn,,SGP,,Krimpenerwaard,Raadslid
130065,Dhr.,A.,,,van der Wende,,SGP,,Krimpenerwaard,Raadslid
130068,Dhr.,J.,,,Verburg,,SGP,,Krimpenerwaard,Raadslid
130067,Dhr.,H.W.,,,Wassink,,SGP,,Krimpenerwaard,Raadslid
130070,Dhr.,B.,,,Schamper,,VGBK,,Krimpenerwaard,Raadslid
130069,Dhr.,J.W.,,,van der Ham,,SGP,,Krimpenerwaard,Raadslid
130325,Dhr.,G.J.W.,,,Hamel,,VVD,,Krimpenerwaard,Raadslid
130071,Dhr.,P.J.S.,,,van der Hek,,VGBK,,Krimpenerwaard,Raadslid
130073,Dhr.,W.J.,,,Schoof,,VGBK,,Krimpenerwaard,Raadslid
130625,Dhr.,Y.,,,van Dortmont,,VGBK,,Krimpenerwaard,Raadslid
20802742,Dhr.,G.,,,Both,,ChristenUnie,,Krimpenerwaard,Raadslid
130382,Dhr.,F.J.J.,,,Mone,,CDA,,Krimpenerwaard,Raadslid
23278947,Dhr.,E.,,,Mondriaan,,VGBK,,Krimpenerwaard,Raadslid
130384,Dhr.,K.,,,Larooij,,CDA,,Krimpenerwaard,Raadslid
130383,Dhr.,J.H.,,,Verkerk,,CDA,,Krimpenerwaard,Raadslid
130386,Mw.,N.E.,,,van Zijl-Vuijk,,ChristenUnie,,Krimpenerwaard,Raadslid
131028,Dhr.,P.,,,Heerens,,Gemeente Belang Schoonhoven,,Krimpenerwaard,Raadslid
131029,Mw.,A.,,,van Buren-van der Heiden,,Gemeente Belang Schoonhoven,,Krimpenerwaard,Raadslid
130008,Dhr.,J.C.,,,de Keuning,,VGBK,,Krimpenerwaard,Raadslid
130010,Dhr.,W.,,,Pannekoek,,VGBK,,Krimpenerwaard,Raadslid
135133,Dhr.,C.,,,van der Graaf,,PvdA,,Krimpenerwaard,Raadslid
130387,Dhr.,M.J.,,,van Kersbergen,,VVD,,Krimpenerwaard,Raadslid
132871,Dhr.,R.H.,,,van der Wilt,,VVD,,Krimpenerwaard,Raadslid
130075,Mw.,M.,,,Verduijn-van Houwelingen,,VVD,,Krimpenerwaard,Raadslid
20274123,Mw. mr.,M.,,,Plantinga-Leenders,,,,Krimpenerwaard,Secretaris
129934,Dhr.,J.,,,Vente,,ChristenUnie,,Krimpenerwaard,Wethouder
129936,Dhr.,J.P.,,,Neven,,SGP,,Krimpenerwaard,Wethouder
23278969,Dhr.,L.A.,,,de Wit,,VGBK,,Krimpenerwaard,Wethouder
133866,Mw.,L.,,,Sleeuwenhoek-de Jong,,VGBK,,Krimpenerwaard,Wethouder
129938,Mw.,M.G.,,,Boere-Schoonderwoerd,,VVD,,Krimpenerwaard,Wethouder
110964,Dhr.,A.A.M.M.,,,Heijmans,,D66,,Weert,Burgemeester
122604,Dhr.,H.,,,Stals,,CDA,,Weert,Fractievoorzitter
